School / District,Calendar Link,Notes
Alachua,https://www.alachuaschools.net/o/acps/page/calendars,
Baker,https://www.bakerk12.org/fs/calendar-manager/events.ics?calendar_ids=1,
Bay,https://www.bay.k12.fl.us/o/bds/page/academic-calendar,
Bradford,https://www.bradfordschools.org/parent-student-resources/school-calendar,
Brevard,https://www.brevardschools.org/documents/district-calendars/at-a-glance/14685530,
Broward,https://www.browardschools.com/calendar-e3,
Calhoun,https://calhounflschools.org/calendars,
Charlotte,https://www.yourcharlotteschools.net/80276_3,
Citrus,https://www.citrusschools.org/calendars,
Clay,https://www.oneclay.net/o/ccds/page/student-calendars,
Collier,https://www.collierschools.com/fs/calendar-manager/events.ics?calendar_ids=57,
Columbia,https://www.columbiak12.com/sndreq/generateCalendarICS.php?calendar_id=136398,
Desoto,https://www.desotoschools.com/families/calendar,
Dixie,https://www.dixie.k12.fl.us/Calendars,
Duval,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/23734/cms/events/generate_ical?filter_ids&section_ids,
Escambia,https://www.escambiak12.net/page/school-calendar,
Flagler,https://www.flaglerschools.com/calendar/calendar_351.ics,
Franklin,https://www.franklincountyschools.org/fs/calendar-manager/events.ics?calendar_ids=3,
Gadsden,https://www.gadsdenschools.org/,No dedicated calendar page
Gilchrist,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/1058/cms/events/generate_ical?filter_ids&section_ids,
Glades,https://www.gladesedu.com/o/gcsd/page/human-resources-calendars,"Truly terrible, looks like calendars are scanned in"
Gulf,https://gulfcoschools.com/,No pattern for where posted
Hamilton,https://hamiltonfl.com/sndreq/generateCalendarICS.php?calendar_id=141660,
Hardee,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/7116/cms/events/generate_ical?filter_ids&section_ids,
Hendry,https://www.hendry-schools.org/calendar/calendar_349.ics,
Hernando,https://www.hernandoschools.org/school-calendars,
Highlands,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/18825/cms/events/generate_ical?filter_ids&section_ids,
Hillsborough,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/28712/cms/events/generate_ical?filter_ids&section_ids=481764,
Holmes,https://www.hdsb.org/?a=eventtypes.ical&type_id=78af407d-be3c-4829-80c3-90bf2054bcd9,
Indian River,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/29132/cms/events/generate_ical?filter_ids&section_ids=500514,
Jackson,https://www.jcsb.org/apps/events/ical/?id=0,
Jefferson,https://www.jeffersonschools.net/calendars,
Lafayette,https://calendar.google.com/calendar/ical/lcsbmail.net_jslnkp9hmsaojnhkkudo8h93g0%40group.calendar.google.com/public/basic.ics,
Lake,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/19157/cms/events/generate_ical?filter_ids&section_ids,
Lee,https://www.leeschools.net/ICalendarHandler?calendarId=1372252,
Leon,https://www.leonschools.net/sndreq/generateCalendarICS.php?calendar_id=142890,
Levy,https://www.levyk12.org/school-calendars,
Liberty,https://www.lcsb.org/sndreq/generateCalendarICS.php?calendar_id=137516,
Madison,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/31709/cms/events/generate_ical?filter_ids&section_ids,
Manatee,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/26013/cms/events/generate_ical?filter_ids&section_ids=437818,
Marion,https://www.marionschools.net/ICalendarHandler?calendarId=14731558,
Martin,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/7434/cms/events/generate_ical?filter_ids&section_ids,
Miami-Dade,https://www3.dadeschools.net/Calendars/home,
Monroe,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/25496/cms/events/generate_ical?filter_ids&section_ids,
Nassau,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/28820/cms/events/generate_ical?filter_ids&section_ids,
Okaloosa,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/10367/cms/events/generate_ical?filter_ids&section_ids,
Okeechobee,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/22341/cms/events/generate_ical?filter_ids&section_ids,
Orange,https://www.ocps.net/sndreq/generateCalendarICS.php?calendar_id=134716,
Osceola,https://www.osceolaschools.net/sndreq/generateCalendarICS.php?calendar_id=132941,
Palm Beach,https://www.palmbeachschools.org/fs/calendar-manager/events.ics?calendar_ids=1,
Pasco,www.google.com/calendar/ical/d31uqp97ui8r9k35bqt1cr5b5k%40group.calendar.google.com/public/basic.ics,
Pinellas,https://www.pcsb.org/fs/calendar-manager/events.ics?calendar_ids=133,
Polk,https://www.polkschoolsfl.com/ICalendarHandler?calendarId=9651699,
Putnam,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/4962/cms/events/generate_ical?filter_ids&section_ids,
Santa Rosa,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/26160/cms/events/generate_ical?filter_ids&section_ids,
Sarasota,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/21535/cms/events/generate_ical?filter_ids&section_ids,
Seminole,https://www.scps.k12.fl.us/sndreq/generateCalendarICS.php?calendar_id=134289,
St. Johns,https://www.stjohns.k12.fl.us/events/category/master/feed/eo-events/,
St. Lucie,https://www.stlucie.k12.fl.us/schoolcalendar?event_type=188,
Sumter,https://www.sumter.k12.fl.us/sndreq/generateCalendarICS.php?calendar_id=135563,
Suwanee,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/19740/cms/events/generate_ical?filter_ids&section_ids,
Taylor,www.taylor.k12.fl.us/sys/calendar/export?widgetId=29718591223e433ca644363c2daaf44d&type=1,
Union,https://calendar.google.com/calendar/ical/union.k12.fl.us_dh080smlacmnlaliaqvdaqs058%40group.calendar.google.com/public/basic.ics,
Volusia,https://www.vcsedu.org/calendar/calendar_351.ics,
Wakulla,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/27223/cms/events/generate_ical?filter_ids&section_ids,
Walton,https://thrillshare-cmsv2.services.thrillshare.com/api/v4/o/17191/cms/events/generate_ical?filter_ids&section_ids,
